Average(In degree C):  T1 = 76.37   T2 = 76.37    T3 = 76.38   T4 = 76.23   T5 = 71.49   T6 = 71.23   T7 = 27.09   T8 = 26.90
========
No.     V      I      T1      T2      T3      T4      T5      T6      T7      T8
 33   72.89    0.70   77.27   74.11   77.78   76.66   72.24   70.33   26.60   26.70
 34   72.81    0.70   77.28   74.80   76.94   75.66   72.24   70.79   25.21   25.89
 35   72.72    0.70   77.91   76.20   77.04   75.42   72.69   71.11   27.11   27.50
 36   72.56    0.70   76.90   76.00   76.36   77.41   69.70   70.99   28.21   26.30
 37   72.98    0.69   76.30   77.77   76.59   76.61   72.30   70.43   26.64   29.08
 38   72.65    0.70   77.13   77.63   74.13   75.53   69.24   72.60   26.03   27.34
 39   72.33    0.69   77.50   76.98   76.24   76.48   70.36   72.03   27.09   27.02
 40   72.59    0.69   76.79   77.03   75.21   75.17   72.03   70.90   26.97   27.22
 41   72.68    0.70   76.96   76.95   75.99   77.06   71.81   71.98   26.80   25.13
 42   72.77    0.70   74.05   75.39   74.63   76.03   73.13   71.36   28.92   25.91
 43   72.33    0.69   76.59   78.03   76.57   74.60   71.31   71.21   27.59   27.22
 44   72.79    0.70   77.25   76.24   75.75   76.96   71.56   71.46   28.12   25.31
 45   72.61    0.70   77.19   75.20   76.16   76.87   70.98   71.41   25.93   27.89
 46   72.89    0.70   76.15   75.19   78.25   74.21   71.07   71.14   27.45   28.24
 47   72.71    0.70   77.02   76.15   76.12   77.29   72.07   71.42   28.28   26.98
 48   72.65    0.70   75.14   76.59   77.82   75.58   71.34   72.68   27.41   26.47
 49   72.94    0.70   77.10   74.98   77.70   74.68   69.87   70.93   27.23   26.60
 50   72.58    0.69   76.70   78.21   74.82   76.92   71.59   70.95   26.56   26.21
 51   72.32    0.70   74.95   76.87   77.29   74.49   71.06   70.71   25.67   27.53
 52   72.59    0.70   75.73   76.05   76.23   76.90   70.85   71.29   28.02   29.06
 53   72.65    0.70   76.99   76.30   75.72   74.66   71.06   71.03   26.40   27.90
 54   72.42    0.70   75.38   76.76   75.89   75.72   71.00   72.97   26.02   26.86
 55   72.78    0.70   77.11   75.53   77.00   76.28   70.95   71.14   28.27   27.37
 56   72.51    0.70   77.19   76.29   77.25   77.11   71.45   72.25   26.74   26.36
 57   72.37    0.70   75.81   74.83   76.24   76.56   71.50   72.02   26.64   26.86
 58   72.78    0.70   76.43   74.97   76.63   74.46   70.45   70.63   29.34   26.65
 59   72.63    0.69   76.64   75.88   76.64   76.97   71.20   70.88   27.59   27.27
 60   72.64    0.70   75.22   78.22   76.71   78.89   71.66   72.65   27.75   25.17
 61   72.61    0.70   77.16   74.55   75.62   74.60   70.09   70.60   27.00   27.95
 62   72.50    0.70   77.77   78.15   76.95   75.79   70.62   70.98   26.65   28.04
 63   72.79    0.69   75.16   76.05   76.54   74.55   71.66   70.67   26.79   25.95
 64   72.66    0.69   75.47   75.08   76.38   76.04   72.64   72.45   28.94   27.00
 65   72.36    0.70   76.05   76.85   78.85   76.61   71.18   69.86   25.79   26.82
 66   72.47    0.69   75.44   75.75   76.69   76.15   71.94   71.13   26.06   27.99
 67   72.72    0.70   77.04   77.70   77.09   77.28   72.40   71.61   26.67   28.14
 68   73.00    0.70   77.24   75.72   76.24   76.62   70.85   71.94   28.54   26.29
 69   72.44    0.70   75.16   78.35   77.67   75.48   71.37   71.66   26.85   26.54
 70   72.34    0.69   76.10   76.73   76.95   77.18   70.00   71.70   27.46   27.58
 71   72.68    0.69   77.31   75.40   76.80   75.80   70.93   72.62   28.28   26.53
 72   72.31    0.69   77.29   75.76   77.93   74.25   73.18   71.57   27.56   27.26
 73   72.96    0.69   76.89   78.54   77.54   77.02   70.42   71.99   28.68   26.65
 74   72.73    0.70   75.94   76.02   75.59   75.72   69.90   70.30   26.77   27.19
 75   72.36    0.70   76.75   75.06   76.13   77.73   73.01   70.57   25.66   26.77
 76   72.94    0.70   77.10   76.27   75.14   77.31   72.88   72.58   26.99   26.19
 77   72.83    0.70   75.56   76.01   75.87   76.03   69.55   69.49   25.96   26.20
 78   72.32    0.70   76.67   76.15   75.98   75.13   70.44   70.39   24.87   27.93
 79   72.52    0.69   76.68   76.32   76.29   74.38   71.84   71.25   25.91   25.99
 80   72.48    0.69   75.12   74.85   75.31   75.95   71.81   70.89   26.08   26.46
 81   72.91    0.70   75.27   76.38   75.30   76.83   72.87   69.82   27.93   25.66
 82   72.64    0.70   75.81   75.49   76.42   75.74   71.20   72.13   28.88   26.83
 83   72.33    0.70   77.05   76.47   75.85   77.41   71.83   72.13   26.34   28.83
 84   72.54    0.70   75.40   77.72   75.06   78.09   71.79   70.84   28.45   27.92
 85   72.29    0.70   75.14   78.00   75.67   76.05   71.82   70.26   27.25   27.37
 86   72.79    0.70   75.34   75.49   75.51   75.12   72.34   69.75   28.00   27.41
 87   72.57    0.70   77.75   75.81   76.18   76.58   71.87   69.37   28.09   27.47
 88   72.55    0.70   75.53   75.58   75.43   77.13   71.87   71.28   27.77   27.67
 89   72.64    0.70   74.96   75.98   75.55   76.33   72.26   71.68   27.14   25.49
 90   72.35    0.70   76.24   75.57   76.41   76.72   71.11   70.56   28.37   27.37
 91   72.41    0.70   76.17   76.48   75.35   76.25   73.17   71.32   26.65   27.88
 92   72.83    0.70   76.57   75.99   76.45   76.86   70.63   72.06   26.92   27.04
 93   72.33    0.69   75.50   75.97   77.76   74.35   71.90   69.95   27.95   28.19
 94   72.72    0.70   74.51   75.45   77.95   74.41   71.04   72.20   26.11   25.52
 95   72.39    0.70   77.48   76.66   76.11   76.83   72.12   70.43   27.51   26.92
 96   72.94    0.70   77.18   78.79   77.78   77.36   71.37   70.22   26.52   28.67
 97   72.32    0.70   78.26   77.23   76.13   77.08   71.16   70.99   27.08   26.94
 98   72.49    0.70   77.71   75.01   75.90   78.13   71.32   72.04   27.42   24.51
 99   72.40    0.70   77.01   76.33   78.33   77.65   71.94   71.83   28.11   27.09
100   72.35    0.70   76.89   77.03   75.32   77.09   73.76   71.14   26.70   26.57
