DTC: 60 , AVERAGE U: 1.41
========
DTC: 60 , AVERAGE e: 0.84
No.  T_h_i    T_h_o   T_c_i   T_c_o
 58   59.86    53.79   19.89   52.56
 59   59.49    54.12   19.86   52.32
 60   59.76    51.91   19.92   55.22
 61   59.84    52.41   19.91   53.75
 62   59.43    52.72   19.88   54.23
 63   59.65    53.84   19.89   53.49
 64   59.84    53.57   19.95   53.73
 65   59.71    54.24   19.85   54.74
 66   59.44    53.69   19.89   54.55
 67   59.75    53.56   19.89   52.26
 68   59.75    55.29   19.92   53.12
 69   59.95    52.48   19.93   54.70
 70   59.77    54.97   19.92   53.82
 71   59.86    53.19   19.81   52.95
 72   59.89    50.80   19.92   52.62
 73   59.91    55.71   20.00   53.22
 74   59.74    52.12   19.86   53.47
 75   59.83    53.78   19.81   53.83
 76   59.72    53.72   19.99   52.61
 77   59.87    53.04   19.83   52.68
 78   59.66    53.47   19.98   54.69
 79   59.64    55.56   19.85   52.74
 80   59.96    52.71   19.82   53.05
 81   59.49    54.16   19.82   54.09
 82   59.54    52.52   19.97   52.80
 83   59.90    54.45   19.95   53.72
 84   59.76    53.95   19.98   52.72
 85   59.56    53.08   19.91   52.63
 86   59.86    53.94   19.82   54.63
 87   59.99    54.30   19.88   53.05
 88   59.58    54.17   19.81   53.20
 89   59.95    53.13   19.83   51.77
 90   59.60    53.53   19.97   53.34
 91   59.53    53.79   19.85   53.61
 92   59.52    53.25   19.93   54.76
 93   60.00    52.44   19.96   52.90
 94   59.86    54.21   19.82   53.11
 95   59.86    55.30   19.97   51.88
 96   59.74    54.16   19.97   53.76
 97   59.71    53.97   19.86   53.15
 98   59.60    52.97   19.98   53.65
 99   59.69    54.34   19.85   53.70
DTC: 60 , AVERAGE U: 1.41
========
DTC: 60 , AVERAGE e: 0.84
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.45    53.54   19.92   54.33
  1   59.88    53.26   19.93   54.07
  2   59.98    52.98   19.90   53.94
  3   59.72    55.44   19.82   54.01
  4   59.94    54.97   19.82   54.84
  5   59.74    54.76   19.85   54.09
  6   59.62    54.85   19.86   53.15
  7   59.90    53.20   19.95   54.34
  8   59.82    53.65   19.93   53.73
  9   59.96    53.37   19.81   51.45
 10   59.51    53.16   19.83   53.80
 11   59.77    52.65   19.82   54.20
 12   59.50    52.54   19.91   54.71
 13   59.62    53.52   19.86   53.27
 14   59.46    53.13   19.96   54.01
 15   60.00    53.55   19.81   53.07
 16   59.70    55.95   19.97   53.86
 17   59.53    54.14   19.89   52.67
 18   59.71    55.35   19.87   53.77
 19   60.00    55.59   19.82   52.93
 20   59.55    52.81   19.99   54.05
 21   59.85    52.35   19.89   54.10
 22   59.60    53.72   19.92   52.95
 23   59.41    51.51   19.85   52.61
 24   59.90    54.02   19.84   55.06
 25   59.99    54.24   19.94   52.41
 26   59.55    53.61   19.83   53.12
 27   59.60    54.67   20.00   53.39
 28   59.45    53.29   19.99   51.62
 29   59.50    54.46   19.98   50.87
 30   59.46    53.46   19.86   52.09
 31   59.83    54.66   19.97   53.88
 32   59.52    52.43   19.82   52.05
 33   59.92    54.59   19.97   53.61
 34   59.90    53.03   19.85   53.48
 35   59.93    53.43   19.88   54.20
 36   59.79    52.33   19.97   53.47
 37   59.94    55.23   19.89   55.29
 38   59.50    53.71   19.89   51.57
 39   59.80    53.12   19.96   54.81
 40   59.57    54.00   19.94   54.41
 41   59.87    53.59   19.99   54.85
 42   59.97    52.66   19.97   53.45
 43   59.93    52.87   19.90   54.51
 44   59.96    53.69   19.96   54.53
 45   59.72    52.70   19.92   53.75
 46   59.62    53.34   19.87   54.52
 47   59.68    54.19   19.86   52.85
 48   59.94    54.43   19.98   53.80
 49   59.53    54.78   19.96   52.58
 50   59.80    54.06   19.86   51.92
 51   59.51    53.64   19.82   53.59
 52   59.98    52.59   19.83   54.16
 53   59.72    53.62   19.80   51.91
 54   59.85    52.18   19.91   54.84
 55   59.60    52.55   19.81   51.57
 56   59.76    54.50   19.94   51.88
 57   59.69    54.03   19.96   53.17
 58   59.86    53.79   19.89   52.56
 59   59.49    54.12   19.86   52.32
 60   59.76    51.91   19.92   55.22
 61   59.84    52.41   19.91   53.75
 62   59.43    52.72   19.88   54.23
 63   59.65    53.84   19.89   53.49
 64   59.84    53.57   19.95   53.73
 65   59.71    54.24   19.85   54.74
 66   59.44    53.69   19.89   54.55
 67   59.75    53.56   19.89   52.26
 68   59.75    55.29   19.92   53.12
 69   59.95    52.48   19.93   54.70
 70   59.77    54.97   19.92   53.82
 71   59.86    53.19   19.81   52.95
 72   59.89    50.80   19.92   52.62
 73   59.91    55.71   20.00   53.22
 74   59.74    52.12   19.86   53.47
 75   59.83    53.78   19.81   53.83
 76   59.72    53.72   19.99   52.61
 77   59.87    53.04   19.83   52.68
 78   59.66    53.47   19.98   54.69
 79   59.64    55.56   19.85   52.74
 80   59.96    52.71   19.82   53.05
 81   59.49    54.16   19.82   54.09
 82   59.54    52.52   19.97   52.80
 83   59.90    54.45   19.95   53.72
 84   59.76    53.95   19.98   52.72
 85   59.56    53.08   19.91   52.63
 86   59.86    53.94   19.82   54.63
 87   59.99    54.30   19.88   53.05
 88   59.58    54.17   19.81   53.20
 89   59.95    53.13   19.83   51.77
 90   59.60    53.53   19.97   53.34
 91   59.53    53.79   19.85   53.61
 92   59.52    53.25   19.93   54.76
 93   60.00    52.44   19.96   52.90
 94   59.86    54.21   19.82   53.11
 95   59.86    55.30   19.97   51.88
 96   59.74    54.16   19.97   53.76
 97   59.71    53.97   19.86   53.15
 98   59.60    52.97   19.98   53.65
 99   59.69    54.34   19.85   53.70
DTC: 60 , AVERAGE U: 2.79
========
DTC: 60 , AVERAGE e: 0.83
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.92    54.06   19.90   53.16
  1   59.78    52.30   19.86   53.90
  2   59.87    53.21   19.85   53.23
  3   59.97    51.85   19.88   52.58
  4   59.99    52.63   19.83   52.79
  5   59.98    52.32   19.89   53.43
  6   59.64    53.39   19.91   53.53
  7   59.97    51.85   19.84   53.16
  8   59.68    52.86   19.94   53.03
  9   59.45    52.06   19.89   51.74
 10   59.47    54.03   19.92   53.59
 11   59.80    51.86   19.81   53.46
 12   59.79    52.89   19.82   53.18
 13   59.77    52.98   19.82   53.32
 14   59.96    52.38   19.91   52.15
 15   59.69    52.56   19.95   52.47
 16   59.85    52.46   19.83   52.64
 17   59.46    51.92   19.81   53.05
 18   59.53    53.62   19.97   52.91
 19   59.87    53.67   19.82   55.40
 20   59.61    51.44   19.99   53.57
 21   59.71    52.13   19.91   53.12
 22   59.54    53.85   19.98   52.24
 23   59.72    51.55   19.98   54.01
 24   59.70    54.90   19.94   53.32
 25   59.79    54.35   19.93   52.27
 26   59.74    52.37   19.80   53.50
 27   59.47    53.47   19.92   52.03
 28   59.40    51.89   19.90   53.08
 29   59.82    51.64   19.87   53.27
 30   59.68    52.37   19.94   53.09
 31   59.69    53.64   19.97   53.41
 32   59.61    52.07   19.85   52.34
 33   59.73    52.79   19.82   52.48
 34   59.74    52.97   19.84   52.68
 35   59.47    52.88   19.94   54.17
 36   59.79    53.60   19.89   52.78
 37   59.92    53.79   19.88   51.88
 38   59.86    52.50   19.93   53.13
 39   59.85    52.69   19.81   51.73
 40   59.84    51.38   19.93   52.85
 41   59.80    52.37   19.94   53.62
 42   59.96    53.85   19.94   53.25
 43   59.80    53.84   19.91   53.40
 44   59.95    55.48   19.84   52.68
 45   59.46    53.77   19.82   52.50
 46   59.74    53.01   19.84   50.99
 47   59.95    53.45   19.90   51.43
 48   59.85    52.74   19.93   54.44
 49   59.68    52.41   19.94   52.02
 50   59.66    52.31   19.99   54.76
 51   59.44    53.46   19.84   54.84
 52   59.62    50.71   19.82   54.98
 53   59.58    54.29   19.95   52.19
 54   59.98    52.00   19.91   52.95
 55   59.85    53.18   19.83   52.23
 56   59.58    53.33   19.96   53.46
 57   59.97    52.39   19.87   51.88
 58   59.43    52.75   19.94   53.05
 59   59.50    52.22   19.92   51.91
 60   59.72    53.29   20.00   53.00
 61   59.74    52.23   19.86   53.57
 62   59.50    51.51   19.83   53.29
 63   59.42    50.79   19.98   53.63
 64   59.60    51.49   19.98   55.27
 65   59.75    51.13   19.86   52.57
 66   59.53    54.49   19.86   53.78
 67   59.92    53.07   19.94   52.82
 68   59.97    51.56   19.89   52.68
 69   59.48    53.05   19.80   53.18
 70   59.66    52.76   19.84   54.01
 71   59.82    53.88   19.91   53.94
 72   59.96    52.48   19.81   54.30
 73   59.42    52.62   19.90   53.75
 74   59.68    53.43   19.94   54.65
 75   59.45    52.19   19.93   52.34
 76   59.83    53.11   19.83   53.66
 77   59.98    53.98   19.99   52.53
 78   59.70    53.80   19.84   51.95
 79   59.41    53.66   19.90   53.45
 80   59.81    52.04   19.96   52.94
 81   59.78    53.90   19.87   53.37
 82   59.51    52.37   19.90   52.48
 83   59.71    53.61   19.85   53.04
 84   59.75    54.31   19.85   53.80
 85   59.92    54.28   19.81   52.55
 86   59.65    51.55   19.82   52.65
 87   59.76    52.17   19.90   51.76
 88   59.75    54.41   19.89   52.20
 89   59.76    53.06   19.84   51.43
 90   59.46    54.87   19.86   54.42
 91   59.63    52.58   19.99   53.10
 92   59.88    54.67   19.99   52.28
 93   59.49    51.93   19.90   54.10
 94   59.76    53.04   19.89   53.50
 95   59.94    51.79   19.98   52.43
 96   59.81    51.30   19.86   53.55
 97   59.62    55.09   19.92   54.97
 98   59.59    53.00   19.98   52.20
 99   59.64    53.73   19.97   53.80
DTC: 60 , AVERAGE U: 2.79
========
DTC: 60 , AVERAGE e: 0.83
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.92    54.06   19.90   53.16
  1   59.78    52.30   19.86   53.90
  2   59.87    53.21   19.85   53.23
  3   59.97    51.85   19.88   52.58
  4   59.99    52.63   19.83   52.79
  5   59.98    52.32   19.89   53.43
  6   59.64    53.39   19.91   53.53
  7   59.97    51.85   19.84   53.16
  8   59.68    52.86   19.94   53.03
  9   59.45    52.06   19.89   51.74
 10   59.47    54.03   19.92   53.59
 11   59.80    51.86   19.81   53.46
 12   59.79    52.89   19.82   53.18
 13   59.77    52.98   19.82   53.32
 14   59.96    52.38   19.91   52.15
 15   59.69    52.56   19.95   52.47
 16   59.85    52.46   19.83   52.64
 17   59.46    51.92   19.81   53.05
 18   59.53    53.62   19.97   52.91
 19   59.87    53.67   19.82   55.40
 20   59.61    51.44   19.99   53.57
 21   59.71    52.13   19.91   53.12
 22   59.54    53.85   19.98   52.24
 23   59.72    51.55   19.98   54.01
 24   59.70    54.90   19.94   53.32
 25   59.79    54.35   19.93   52.27
 26   59.74    52.37   19.80   53.50
 27   59.47    53.47   19.92   52.03
 28   59.40    51.89   19.90   53.08
 29   59.82    51.64   19.87   53.27
 30   59.68    52.37   19.94   53.09
 31   59.69    53.64   19.97   53.41
 32   59.61    52.07   19.85   52.34
 33   59.73    52.79   19.82   52.48
 34   59.74    52.97   19.84   52.68
 35   59.47    52.88   19.94   54.17
 36   59.79    53.60   19.89   52.78
 37   59.92    53.79   19.88   51.88
 38   59.86    52.50   19.93   53.13
 39   59.85    52.69   19.81   51.73
 40   59.84    51.38   19.93   52.85
 41   59.80    52.37   19.94   53.62
 42   59.96    53.85   19.94   53.25
 43   59.80    53.84   19.91   53.40
 44   59.95    55.48   19.84   52.68
 45   59.46    53.77   19.82   52.50
 46   59.74    53.01   19.84   50.99
 47   59.95    53.45   19.90   51.43
 48   59.85    52.74   19.93   54.44
 49   59.68    52.41   19.94   52.02
 50   59.66    52.31   19.99   54.76
 51   59.44    53.46   19.84   54.84
 52   59.62    50.71   19.82   54.98
 53   59.58    54.29   19.95   52.19
 54   59.98    52.00   19.91   52.95
 55   59.85    53.18   19.83   52.23
 56   59.58    53.33   19.96   53.46
 57   59.97    52.39   19.87   51.88
 58   59.43    52.75   19.94   53.05
 59   59.50    52.22   19.92   51.91
 60   59.72    53.29   20.00   53.00
 61   59.74    52.23   19.86   53.57
 62   59.50    51.51   19.83   53.29
 63   59.42    50.79   19.98   53.63
 64   59.60    51.49   19.98   55.27
 65   59.75    51.13   19.86   52.57
 66   59.53    54.49   19.86   53.78
 67   59.92    53.07   19.94   52.82
 68   59.97    51.56   19.89   52.68
 69   59.48    53.05   19.80   53.18
 70   59.66    52.76   19.84   54.01
 71   59.82    53.88   19.91   53.94
 72   59.96    52.48   19.81   54.30
 73   59.42    52.62   19.90   53.75
 74   59.68    53.43   19.94   54.65
 75   59.45    52.19   19.93   52.34
 76   59.83    53.11   19.83   53.66
 77   59.98    53.98   19.99   52.53
 78   59.70    53.80   19.84   51.95
 79   59.41    53.66   19.90   53.45
 80   59.81    52.04   19.96   52.94
 81   59.78    53.90   19.87   53.37
 82   59.51    52.37   19.90   52.48
 83   59.71    53.61   19.85   53.04
 84   59.75    54.31   19.85   53.80
 85   59.92    54.28   19.81   52.55
 86   59.65    51.55   19.82   52.65
 87   59.76    52.17   19.90   51.76
 88   59.75    54.41   19.89   52.20
 89   59.76    53.06   19.84   51.43
 90   59.46    54.87   19.86   54.42
 91   59.63    52.58   19.99   53.10
 92   59.88    54.67   19.99   52.28
 93   59.49    51.93   19.90   54.10
 94   59.76    53.04   19.89   53.50
 95   59.94    51.79   19.98   52.43
 96   59.81    51.30   19.86   53.55
 97   59.62    55.09   19.92   54.97
 98   59.59    53.00   19.98   52.20
 99   59.64    53.73   19.97   53.80
DTC: 60 , AVERAGE U: 4.14
========
DTC: 60 , AVERAGE e: 0.82
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.90    51.86   19.98   53.24
  1   59.51    52.49   19.88   52.83
  2   59.93    52.75   19.88   51.48
  3   59.56    53.32   19.93   52.50
  4   59.68    50.42   19.83   53.07
  5   59.92    51.57   19.83   54.12
  6   59.78    53.99   19.94   51.73
  7   59.60    51.71   19.84   52.43
  8   59.45    53.95   19.94   52.79
  9   59.95    53.86   19.93   52.30
 10   59.60    52.26   19.85   52.04
 11   59.48    52.73   19.98   53.28
 12   59.40    51.99   19.99   52.23
 13   59.54    53.64   19.86   53.41
 14   59.42    52.95   19.95   53.37
 15   59.71    51.60   19.87   51.98
 16   59.87    52.52   19.97   51.97
 17   59.55    53.96   19.92   53.03
 18   59.87    52.69   19.87   52.68
 19   59.92    52.57   19.92   52.00
 20   59.41    51.46   19.80   53.18
 21   59.77    53.73   19.90   51.57
 22   59.77    51.78   19.96   49.88
 23   59.56    51.11   19.82   53.32
 24   59.62    51.77   19.96   50.72
 25   59.53    52.10   19.80   50.05
 26   59.97    51.92   19.82   52.14
 27   59.93    53.13   19.90   52.18
 28   59.65    51.50   19.95   54.96
 29   59.90    52.25   19.91   53.82
 30   59.56    51.84   19.89   54.40
 31   59.69    53.54   19.94   53.58
 32   59.61    52.47   19.89   52.75
 33   59.67    52.15   19.83   53.22
 34   59.63    52.32   19.91   51.28
 35   59.79    52.03   19.84   52.82
 36   59.84    53.24   19.84   52.54
 37   59.57    51.80   19.89   52.22
 38   59.61    53.28   19.82   51.88
 39   59.55    53.16   19.90   52.39
 40   59.53    51.68   19.85   52.81
 41   59.65    53.58   19.97   51.97
 42   59.79    53.96   19.98   52.66
 43   59.98    51.60   19.99   52.09
 44   59.92    51.96   19.97   53.84
 45   59.68    52.87   19.81   52.27
 46   59.50    49.88   19.89   52.33
 47   59.41    52.92   19.81   52.43
 48   59.60    53.79   19.99   52.27
 49   59.52    51.90   19.92   51.12
 50   59.74    51.17   19.91   50.66
 51   59.64    52.21   19.82   54.66
 52   59.45    53.89   19.96   52.99
 53   59.43    50.69   19.84   51.57
 54   59.77    50.53   19.88   54.37
 55   59.59    52.89   19.99   51.76
 56   59.99    52.42   19.80   49.97
 57   59.46    53.11   19.89   52.90
 58   59.67    52.48   19.98   52.54
 59   59.64    51.78   19.84   50.96
 60   59.41    52.16   19.93   52.51
 61   59.64    52.52   19.80   52.12
 62   59.88    51.01   19.87   52.93
 63   59.90    53.45   20.00   53.01
 64   59.88    53.29   19.94   52.03
 65   59.98    52.85   19.88   51.59
 66   59.83    53.57   19.86   52.59
 67   59.88    52.11   19.94   51.98
 68   59.84    52.04   19.83   53.12
 69   59.89    51.03   19.83   53.79
 70   60.00    52.68   19.98   52.01
 71   59.42    53.49   19.81   54.01
 72   59.57    51.45   19.81   54.12
 73   59.97    52.97   19.89   52.04
 74   59.91    53.03   19.90   54.30
 75   59.75    54.27   19.87   52.83
 76   59.56    53.91   19.92   53.20
 77   59.87    52.83   19.94   51.65
 78   59.94    50.82   19.98   51.72
 79   59.44    52.74   19.95   54.53
 80   59.55    52.70   19.92   54.24
 81   59.53    51.27   19.92   52.35
 82   59.86    52.90   19.89   54.22
 83   59.56    54.62   19.96   54.33
 84   59.62    51.25   19.87   52.92
 85   59.48    51.95   19.81   52.92
 86   59.69    52.41   19.87   54.37
 87   59.62    53.42   19.94   52.46
 88   59.60    52.06   19.82   55.24
 89   59.54    55.05   19.90   52.19
 90   59.44    53.41   19.88   54.20
 91   59.99    51.82   19.92   52.74
 92   59.69    51.38   19.98   52.88
 93   59.84    51.67   19.91   54.69
 94   59.74    51.89   19.82   52.66
 95   59.41    52.29   20.00   52.87
 96   59.93    54.21   19.95   53.02
 97   59.69    52.51   19.84   53.31
 98   59.95    53.08   19.90   52.69
 99   59.93    52.74   19.83   53.64
DTC: 60 , AVERAGE U: 4.14
========
DTC: 60 , AVERAGE e: 0.82
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.90    51.86   19.98   53.24
  1   59.51    52.49   19.88   52.83
  2   59.93    52.75   19.88   51.48
  3   59.56    53.32   19.93   52.50
  4   59.68    50.42   19.83   53.07
  5   59.92    51.57   19.83   54.12
  6   59.78    53.99   19.94   51.73
  7   59.60    51.71   19.84   52.43
  8   59.45    53.95   19.94   52.79
  9   59.95    53.86   19.93   52.30
 10   59.60    52.26   19.85   52.04
 11   59.48    52.73   19.98   53.28
 12   59.40    51.99   19.99   52.23
 13   59.54    53.64   19.86   53.41
 14   59.42    52.95   19.95   53.37
 15   59.71    51.60   19.87   51.98
 16   59.87    52.52   19.97   51.97
 17   59.55    53.96   19.92   53.03
 18   59.87    52.69   19.87   52.68
 19   59.92    52.57   19.92   52.00
 20   59.41    51.46   19.80   53.18
 21   59.77    53.73   19.90   51.57
 22   59.77    51.78   19.96   49.88
 23   59.56    51.11   19.82   53.32
 24   59.62    51.77   19.96   50.72
 25   59.53    52.10   19.80   50.05
 26   59.97    51.92   19.82   52.14
 27   59.93    53.13   19.90   52.18
 28   59.65    51.50   19.95   54.96
 29   59.90    52.25   19.91   53.82
 30   59.56    51.84   19.89   54.40
 31   59.69    53.54   19.94   53.58
 32   59.61    52.47   19.89   52.75
 33   59.67    52.15   19.83   53.22
 34   59.63    52.32   19.91   51.28
 35   59.79    52.03   19.84   52.82
 36   59.84    53.24   19.84   52.54
 37   59.57    51.80   19.89   52.22
 38   59.61    53.28   19.82   51.88
 39   59.55    53.16   19.90   52.39
 40   59.53    51.68   19.85   52.81
 41   59.65    53.58   19.97   51.97
 42   59.79    53.96   19.98   52.66
 43   59.98    51.60   19.99   52.09
 44   59.92    51.96   19.97   53.84
 45   59.68    52.87   19.81   52.27
 46   59.50    49.88   19.89   52.33
 47   59.41    52.92   19.81   52.43
 48   59.60    53.79   19.99   52.27
 49   59.52    51.90   19.92   51.12
 50   59.74    51.17   19.91   50.66
 51   59.64    52.21   19.82   54.66
 52   59.45    53.89   19.96   52.99
 53   59.43    50.69   19.84   51.57
 54   59.77    50.53   19.88   54.37
 55   59.59    52.89   19.99   51.76
 56   59.99    52.42   19.80   49.97
 57   59.46    53.11   19.89   52.90
 58   59.67    52.48   19.98   52.54
 59   59.64    51.78   19.84   50.96
 60   59.41    52.16   19.93   52.51
 61   59.64    52.52   19.80   52.12
 62   59.88    51.01   19.87   52.93
 63   59.90    53.45   20.00   53.01
 64   59.88    53.29   19.94   52.03
 65   59.98    52.85   19.88   51.59
 66   59.83    53.57   19.86   52.59
 67   59.88    52.11   19.94   51.98
 68   59.84    52.04   19.83   53.12
 69   59.89    51.03   19.83   53.79
 70   60.00    52.68   19.98   52.01
 71   59.42    53.49   19.81   54.01
 72   59.57    51.45   19.81   54.12
 73   59.97    52.97   19.89   52.04
 74   59.91    53.03   19.90   54.30
 75   59.75    54.27   19.87   52.83
 76   59.56    53.91   19.92   53.20
 77   59.87    52.83   19.94   51.65
 78   59.94    50.82   19.98   51.72
 79   59.44    52.74   19.95   54.53
 80   59.55    52.70   19.92   54.24
 81   59.53    51.27   19.92   52.35
 82   59.86    52.90   19.89   54.22
 83   59.56    54.62   19.96   54.33
 84   59.62    51.25   19.87   52.92
 85   59.48    51.95   19.81   52.92
 86   59.69    52.41   19.87   54.37
 87   59.62    53.42   19.94   52.46
 88   59.60    52.06   19.82   55.24
 89   59.54    55.05   19.90   52.19
 90   59.44    53.41   19.88   54.20
 91   59.99    51.82   19.92   52.74
 92   59.69    51.38   19.98   52.88
 93   59.84    51.67   19.91   54.69
 94   59.74    51.89   19.82   52.66
 95   59.41    52.29   20.00   52.87
 96   59.93    54.21   19.95   53.02
 97   59.69    52.51   19.84   53.31
 98   59.95    53.08   19.90   52.69
 99   59.93    52.74   19.83   53.64
DTC: 60 , AVERAGE U: 5.43
========
DTC: 60 , AVERAGE e: 0.81
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.92    52.17   19.84   52.06
  1   59.57    53.57   19.83   53.07
  2   59.79    52.36   19.90   50.41
  3   59.69    52.32   20.00   50.84
  4   59.95    53.14   19.89   52.64
  5   59.87    51.97   19.96   52.52
  6   59.47    52.60   19.80   52.65
  7   59.71    51.71   19.82   51.38
  8   59.69    51.80   19.96   52.73
  9   59.76    52.89   19.83   52.20
 10   59.59    53.42   19.95   54.65
 11   59.42    52.46   19.95   51.59
 12   59.88    52.56   19.81   50.86
 13   59.90    51.75   19.87   52.75
 14   59.44    51.71   19.97   51.29
 15   59.92    53.26   19.92   52.63
 16   59.46    52.03   19.92   54.38
 17   59.42    51.93   19.86   52.09
 18   59.50    50.30   19.89   52.22
 19   59.71    51.93   19.89   52.96
 20   59.64    51.20   19.88   53.36
 21   59.90    54.30   19.84   52.22
 22   59.96    52.22   19.92   52.36
 23   59.85    52.68   19.95   52.25
 24   59.80    54.64   19.93   51.74
 25   59.44    51.92   19.84   53.78
 26   59.89    51.84   19.94   51.95
 27   59.89    53.54   19.93   51.74
 28   59.97    54.33   19.84   51.91
 29   59.47    50.61   19.99   51.50
 30   59.99    51.71   19.98   51.78
 31   59.52    52.48   19.82   53.75
 32   59.66    52.53   19.90   51.86
 33   59.56    52.44   19.95   51.32
 34   59.50    52.67   19.93   50.06
 35   59.62    52.93   19.94   52.30
 36   59.57    51.51   19.99   53.27
 37   59.76    52.99   19.98   50.71
 38   59.40    50.61   19.85   53.37
 39   59.44    53.23   19.87   52.33
 40   59.64    51.18   19.86   52.52
 41   59.87    53.07   19.86   51.48
 42   59.87    51.02   19.94   52.48
 43   59.98    53.58   19.98   52.42
 44   59.91    50.92   19.92   51.99
 45   59.83    52.26   19.90   51.24
 46   59.63    52.13   19.98   53.21
 47   59.67    51.66   19.92   53.48
 48   59.64    50.95   19.84   50.71
 49   59.72    51.73   19.87   51.30
 50   59.64    52.09   19.83   49.99
 51   59.87    50.87   19.93   51.87
 52   59.95    52.48   19.98   53.65
 53   59.92    52.97   19.99   52.20
 54   59.75    51.83   19.95   51.22
 55   59.51    52.36   19.85   52.63
 56   59.49    52.27   19.91   51.43
 57   59.95    51.31   19.82   52.87
 58   59.49    50.69   19.88   52.08
 59   59.42    52.52   19.88   50.13
 60   59.90    50.26   19.92   52.60
 61   59.59    51.34   19.92   53.03
 62   59.60    52.20   19.99   52.61
 63   59.48    51.87   19.86   52.28
 64   59.48    53.43   19.81   53.55
 65   59.82    53.90   19.80   51.10
 66   59.72    53.59   19.96   49.54
 67   59.72    51.09   19.82   52.47
 68   59.70    51.68   19.91   52.36
 69   59.77    52.50   19.93   52.03
 70   59.76    51.23   19.91   52.15
 71   59.92    51.95   19.88   50.00
 72   59.77    51.85   19.82   50.77
 73   59.63    50.03   19.91   51.64
 74   59.86    52.11   19.80   54.04
 75   59.45    53.59   19.81   52.46
 76   59.77    50.72   19.94   50.69
 77   59.88    54.12   19.89   51.95
 78   59.50    51.71   19.80   51.91
 79   59.61    53.92   19.95   50.88
 80   59.43    52.14   19.88   52.44
 81   59.46    52.82   20.00   50.35
 82   59.50    52.00   19.87   52.47
 83   59.41    52.50   19.80   52.26
 84   59.99    51.81   19.95   52.66
 85   59.49    52.84   19.83   51.52
 86   59.62    50.82   19.95   53.45
 87   59.69    52.07   19.89   52.78
 88   59.65    52.30   19.87   53.87
 89   59.62    53.52   19.94   52.03
 90   59.78    52.90   19.85   51.88
 91   59.52    52.22   19.88   53.02
 92   59.42    53.28   19.87   52.45
 93   59.52    53.05   19.89   51.51
 94   59.83    50.92   19.88   50.34
 95   59.72    52.35   19.90   51.85
 96   59.52    51.80   19.97   53.34
 97   59.75    52.16   19.81   53.24
 98   59.61    52.23   19.99   52.56
 99   59.69    52.99   19.93   51.66
DTC: 60 , AVERAGE U: 5.43
========
DTC: 60 , AVERAGE e: 0.81
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.92    52.17   19.84   52.06
  1   59.57    53.57   19.83   53.07
  2   59.79    52.36   19.90   50.41
