DTC: 90 , AVERAGE U: 43.14
========
DTC: 90 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
 46   88.55    55.15   19.85   55.49
 47   88.62    54.12   19.96   54.08
 48   88.91    52.83   19.85   54.84
 49   88.87    55.88   19.89   55.37
 50   88.36    53.38   19.91   54.64
 51   88.17    55.86   19.98   55.83
 52   88.93    54.41   19.90   55.91
 53   88.70    56.32   19.96   55.19
 54   88.45    54.84   19.90   54.79
 55   88.80    54.07   19.92   55.65
 56   88.46    54.53   19.98   54.31
 57   88.17    55.75   19.81   56.01
 58   88.16    54.75   19.82   57.32
 59   88.79    55.07   19.81   53.88
 60   88.96    55.03   19.99   56.53
 61   88.40    55.54   19.87   56.46
 62   88.80    54.58   19.91   54.14
 63   88.17    56.53   19.98   55.38
 64   88.27    55.01   19.87   55.53
 65   88.71    56.38   19.80   54.95
 66   88.26    56.99   19.97   54.78
 67   88.96    54.73   19.95   55.68
 68   88.51    54.08   19.92   54.31
 69   88.24    57.78   19.89   55.41
 70   88.69    55.69   19.83   57.58
 71   88.22    56.15   19.99   54.54
 72   88.50    56.36   19.92   55.29
 73   88.79    55.21   19.98   55.58
 74   88.30    56.07   19.90   55.39
 75   88.13    55.10   19.87   53.42
 76   88.76    54.08   19.86   54.35
 77   88.99    56.19   19.81   56.48
 78   88.31    56.05   19.93   55.44
 79   88.40    55.66   19.95   56.01
 80   88.60    55.27   19.91   55.29
 81   88.72    54.76   19.97   53.98
 82   88.52    55.58   19.83   55.62
 83   88.89    55.25   19.88   56.01
 84   88.38    55.73   19.91   54.09
 85   88.69    55.27   19.92   54.34
 86   88.43    55.74   19.94   55.94
 87   88.23    54.14   19.82   56.46
 88   88.20    52.79   19.93   54.46
 89   88.54    54.63   19.98   55.30
 90   88.97    53.74   19.83   55.86
 91   88.33    54.64   19.99   54.31
 92   88.23    54.91   20.00   55.92
 93   88.48    54.94   19.95   54.85
 94   88.24    55.61   19.82   56.40
 95   88.24    55.56   19.89   55.45
 96   88.14    55.60   19.91   56.50
 97   88.62    55.72   19.85   54.40
 98   88.47    54.88   19.97   55.81
 99   88.21    56.06   19.84   54.50
DTC: 89 , AVERAGE U: 43.09
========
DTC: 89 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   88.43    55.91   19.89   55.40
  1   88.98    56.03   19.99   54.28
  2   88.53    53.93   19.86   54.80
  3   88.98    54.39   19.98   54.35
  4   88.23    56.18   19.82   53.98
  5   88.80    55.21   19.90   55.24
  6   88.67    54.01   19.98   55.21
  7   88.14    54.12   19.94   55.45
  8   88.35    54.54   19.84   55.95
  9   88.37    57.21   19.96   52.79
 10   88.86    53.51   19.95   55.38
 11   88.70    55.10   19.98   54.37
 12   88.63    53.44   19.97   55.25
 13   88.94    56.06   19.89   57.45
 14   88.68    53.83   19.89   55.55
 15   88.97    56.48   19.98   53.42
 16   88.87    54.81   19.95   55.29
 17   88.42    54.63   19.87   55.17
 18   88.36    54.32   19.97   54.44
 19   88.51    55.41   19.90   55.51
 20   88.80    54.90   19.86   54.32
 21   89.00    56.19   19.98   56.12
 22   88.39    56.44   19.94   55.94
 23   88.76    54.87   19.86   53.94
 24   88.51    53.49   19.91   54.27
 25   88.75    56.12   19.96   55.36
 26   88.64    56.45   19.93   54.45
 27   88.56    55.44   19.95   55.61
 28   88.81    55.60   19.99   55.87
 29   88.94    56.52   19.88   54.71
 30   88.15    55.54   19.88   54.07
 31   88.17    55.75   19.89   56.35
 32   88.69    55.62   19.98   56.19
 33   88.49    56.20   19.87   54.47
 34   88.71    56.55   19.89   56.19
 35   88.18    54.40   19.98   54.68
 36   88.14    54.44   19.80   56.10
 37   88.42    55.78   19.89   54.65
 38   88.37    55.46   19.84   55.80
 39   88.21    53.87   19.81   55.82
 40   88.52    57.29   19.94   53.24
 41   88.77    54.64   19.93   56.27
 42   88.81    55.51   19.83   54.72
 43   88.21    57.10   19.98   55.49
 44   88.53    54.82   19.90   54.62
 45   88.56    56.87   19.84   57.17
 46   88.55    55.15   19.85   55.49
 47   88.62    54.12   19.96   54.08
 48   88.91    52.83   19.85   54.84
 49   88.87    55.88   19.89   55.37
 50   88.36    53.38   19.91   54.64
 51   88.17    55.86   19.98   55.83
 52   88.93    54.41   19.90   55.91
 53   88.70    56.32   19.96   55.19
 54   88.45    54.84   19.90   54.79
 55   88.80    54.07   19.92   55.65
 56   88.46    54.53   19.98   54.31
 57   88.17    55.75   19.81   56.01
 58   88.16    54.75   19.82   57.32
 59   88.79    55.07   19.81   53.88
 60   88.96    55.03   19.99   56.53
 61   88.40    55.54   19.87   56.46
 62   88.80    54.58   19.91   54.14
 63   88.17    56.53   19.98   55.38
 64   88.27    55.01   19.87   55.53
 65   88.71    56.38   19.80   54.95
 66   88.26    56.99   19.97   54.78
 67   88.96    54.73   19.95   55.68
 68   88.51    54.08   19.92   54.31
 69   88.24    57.78   19.89   55.41
 70   88.69    55.69   19.83   57.58
 71   88.22    56.15   19.99   54.54
 72   88.50    56.36   19.92   55.29
 73   88.79    55.21   19.98   55.58
 74   88.30    56.07   19.90   55.39
 75   88.13    55.10   19.87   53.42
 76   88.76    54.08   19.86   54.35
 77   88.99    56.19   19.81   56.48
 78   88.31    56.05   19.93   55.44
 79   88.40    55.66   19.95   56.01
 80   88.60    55.27   19.91   55.29
 81   88.72    54.76   19.97   53.98
 82   88.52    55.58   19.83   55.62
 83   88.89    55.25   19.88   56.01
 84   88.38    55.73   19.91   54.09
 85   88.69    55.27   19.92   54.34
 86   88.43    55.74   19.94   55.94
 87   88.23    54.14   19.82   56.46
 88   88.20    52.79   19.93   54.46
 89   88.54    54.63   19.98   55.30
 90   88.97    53.74   19.83   55.86
 91   88.33    54.64   19.99   54.31
 92   88.23    54.91   20.00   55.92
 93   88.48    54.94   19.95   54.85
 94   88.24    55.61   19.82   56.40
 95   88.24    55.56   19.89   55.45
 96   88.14    55.60   19.91   56.50
 97   88.62    55.72   19.85   54.40
 98   88.47    54.88   19.97   55.81
 99   88.21    56.06   19.84   54.50
DTC: 88 , AVERAGE U: 43.25
========
DTC: 88 , AVERAGE e: 0.52
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   87.12    54.23   19.91   54.43
  1   87.26    54.63   19.96   55.40
  2   87.31    55.33   19.83   54.79
  3   87.67    55.20   19.86   53.61
  4   87.24    54.11   19.92   54.82
  5   87.68    54.43   19.82   55.72
  6   87.56    53.08   19.95   55.09
  7   87.57    55.38   19.83   54.56
  8   87.90    55.05   19.84   54.83
  9   87.87    53.57   19.91   55.52
 10   88.00    55.84   19.83   54.06
 11   87.26    55.36   19.88   55.71
 12   87.68    53.82   19.90   57.26
 13   87.61    54.16   19.93   56.54
 14   87.66    56.11   19.99   54.91
 15   87.41    55.05   19.99   55.86
 16   87.68    53.39   19.86   55.42
 17   87.92    55.25   19.89   55.51
 18   87.41    54.35   19.81   55.86
 19   87.96    54.49   19.83   55.70
 20   87.39    54.61   19.84   53.62
 21   87.51    54.81   19.99   53.67
 22   87.50    56.50   19.99   55.05
 23   87.50    55.81   20.00   55.88
 24   87.36    53.65   19.92   54.81
 25   87.44    55.17   19.99   55.00
 26   87.13    54.13   19.81   54.51
 27   87.77    52.54   19.96   56.25
 28   87.69    53.86   19.82   55.27
 29   87.76    55.57   19.95   55.30
 30   87.73    55.00   19.80   56.16
 31   87.22    55.71   19.80   55.09
 32   87.38    54.34   19.81   54.22
 33   87.18    53.88   19.93   54.42
 34   87.30    53.69   19.88   55.40
 35   87.19    54.10   19.93   54.64
 36   87.34    54.77   19.97   54.03
 37   87.54    55.36   19.96   54.31
 38   87.80    56.27   19.86   55.97
 39   87.41    53.86   19.87   55.19
 40   87.93    53.67   19.84   53.60
 41   87.61    54.20   20.00   53.56
 42   87.65    55.02   19.87   55.16
 43   87.49    54.81   19.86   54.23
 44   87.98    55.43   20.00   53.74
 45   87.23    55.60   19.85   55.23
 46   87.58    55.06   19.89   52.78
 47   87.77    53.21   19.84   53.02
 48   87.53    53.99   19.81   55.33
 49   87.47    55.30   19.94   55.36
 50   87.69    52.50   19.85   56.56
 51   87.55    53.95   19.85   54.19
 52   87.95    55.21   19.87   53.58
 53   87.80    55.68   19.83   54.82
 54   87.74    54.76   19.81   55.29
 55   87.32    56.40   19.89   56.06
 56   87.20    54.37   19.96   53.93
 57   87.31    54.30   19.97   53.92
 58   87.51    54.64   20.00   54.57
 59   87.79    55.41   19.86   54.73
 60   87.95    55.53   19.82   56.23
 61   87.36    56.05   19.90   56.14
 62   87.15    55.62   19.86   56.05
 63   87.97    55.33   19.88   56.30
 64   87.40    54.67   19.85   55.10
 65   87.69    54.34   19.95   53.12
 66   87.30    54.97   19.80   55.54
 67   87.35    54.67   19.82   53.69
 68   87.91    53.85   19.92   54.70
 69   87.60    54.86   19.92   54.84
 70   87.18    53.80   19.82   54.39
 71   87.99    55.97   19.98   53.24
 72   87.61    52.88   19.89   54.09
 73   87.83    55.93   19.81   54.36
 74   87.66    55.55   19.83   53.56
 75   87.64    54.23   19.81   55.50
 76   87.17    54.22   19.97   54.92
 77   87.44    55.10   19.87   52.21
 78   87.94    54.71   19.91   55.02
 79   87.43    54.54   19.83   56.18
 80   87.56    54.15   19.81   54.02
 81   87.29    54.80   19.86   54.68
 82   87.68    53.62   19.97   54.99
 83   87.99    52.84   19.91   55.08
 84   87.77    56.07   19.86   54.40
 85   87.98    54.94   19.83   55.20
 86   87.85    54.77   19.81   56.80
 87   87.63    52.75   19.84   54.40
 88   87.56    56.13   19.82   54.20
 89   87.33    56.05   19.89   54.96
 90   87.19    54.07   19.89   53.32
 91   87.40    55.71   19.90   55.24
 92   87.12    56.05   19.97   53.48
 93   87.52    55.64   19.89   54.31
 94   87.74    55.47   19.93   54.98
 95   87.30    54.48   19.84   56.14
 96   87.18    53.81   19.88   55.28
 97   87.28    53.49   19.93   55.44
 98   87.43    55.52   19.91   53.30
 99   87.40    54.33   19.85   53.08
DTC: 88 , AVERAGE U: 43.25
========
DTC: 88 , AVERAGE e: 0.52
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   87.12    54.23   19.91   54.43
  1   87.26    54.63   19.96   55.40
  2   87.31    55.33   19.83   54.79
  3   87.67    55.20   19.86   53.61
  4   87.24    54.11   19.92   54.82
  5   87.68    54.43   19.82   55.72
  6   87.56    53.08   19.95   55.09
  7   87.57    55.38   19.83   54.56
  8   87.90    55.05   19.84   54.83
  9   87.87    53.57   19.91   55.52
 10   88.00    55.84   19.83   54.06
 11   87.26    55.36   19.88   55.71
 12   87.68    53.82   19.90   57.26
 13   87.61    54.16   19.93   56.54
 14   87.66    56.11   19.99   54.91
 15   87.41    55.05   19.99   55.86
 16   87.68    53.39   19.86   55.42
 17   87.92    55.25   19.89   55.51
 18   87.41    54.35   19.81   55.86
 19   87.96    54.49   19.83   55.70
 20   87.39    54.61   19.84   53.62
 21   87.51    54.81   19.99   53.67
 22   87.50    56.50   19.99   55.05
 23   87.50    55.81   20.00   55.88
 24   87.36    53.65   19.92   54.81
 25   87.44    55.17   19.99   55.00
 26   87.13    54.13   19.81   54.51
 27   87.77    52.54   19.96   56.25
 28   87.69    53.86   19.82   55.27
 29   87.76    55.57   19.95   55.30
 30   87.73    55.00   19.80   56.16
 31   87.22    55.71   19.80   55.09
 32   87.38    54.34   19.81   54.22
 33   87.18    53.88   19.93   54.42
 34   87.30    53.69   19.88   55.40
 35   87.19    54.10   19.93   54.64
 36   87.34    54.77   19.97   54.03
 37   87.54    55.36   19.96   54.31
 38   87.80    56.27   19.86   55.97
 39   87.41    53.86   19.87   55.19
 40   87.93    53.67   19.84   53.60
 41   87.61    54.20   20.00   53.56
 42   87.65    55.02   19.87   55.16
 43   87.49    54.81   19.86   54.23
 44   87.98    55.43   20.00   53.74
 45   87.23    55.60   19.85   55.23
 46   87.58    55.06   19.89   52.78
 47   87.77    53.21   19.84   53.02
 48   87.53    53.99   19.81   55.33
 49   87.47    55.30   19.94   55.36
 50   87.69    52.50   19.85   56.56
 51   87.55    53.95   19.85   54.19
 52   87.95    55.21   19.87   53.58
 53   87.80    55.68   19.83   54.82
 54   87.74    54.76   19.81   55.29
 55   87.32    56.40   19.89   56.06
 56   87.20    54.37   19.96   53.93
 57   87.31    54.30   19.97   53.92
 58   87.51    54.64   20.00   54.57
 59   87.79    55.41   19.86   54.73
 60   87.95    55.53   19.82   56.23
 61   87.36    56.05   19.90   56.14
 62   87.15    55.62   19.86   56.05
 63   87.97    55.33   19.88   56.30
 64   87.40    54.67   19.85   55.10
 65   87.69    54.34   19.95   53.12
 66   87.30    54.97   19.80   55.54
 67   87.35    54.67   19.82   53.69
 68   87.91    53.85   19.92   54.70
 69   87.60    54.86   19.92   54.84
 70   87.18    53.80   19.82   54.39
 71   87.99    55.97   19.98   53.24
 72   87.61    52.88   19.89   54.09
 73   87.83    55.93   19.81   54.36
 74   87.66    55.55   19.83   53.56
 75   87.64    54.23   19.81   55.50
 76   87.17    54.22   19.97   54.92
 77   87.44    55.10   19.87   52.21
 78   87.94    54.71   19.91   55.02
 79   87.43    54.54   19.83   56.18
 80   87.56    54.15   19.81   54.02
 81   87.29    54.80   19.86   54.68
 82   87.68    53.62   19.97   54.99
 83   87.99    52.84   19.91   55.08
 84   87.77    56.07   19.86   54.40
 85   87.98    54.94   19.83   55.20
 86   87.85    54.77   19.81   56.80
 87   87.63    52.75   19.84   54.40
 88   87.56    56.13   19.82   54.20
 89   87.33    56.05   19.89   54.96
 90   87.19    54.07   19.89   53.32
 91   87.40    55.71   19.90   55.24
 92   87.12    56.05   19.97   53.48
 93   87.52    55.64   19.89   54.31
 94   87.74    55.47   19.93   54.98
 95   87.30    54.48   19.84   56.14
 96   87.18    53.81   19.88   55.28
 97   87.28    53.49   19.93   55.44
 98   87.43    55.52   19.91   53.30
 99   87.40    54.33   19.85   53.08
DTC: 87 , AVERAGE U: 43.01
========
DTC: 87 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   86.89    56.46   19.92   54.78
  1   86.16    52.55   19.83   55.16
  2   86.38    54.47   19.99   53.71
  3   86.52    55.13   19.96   53.73
  4   86.35    53.36   19.98   53.97
  5   86.84    55.86   19.97   52.35
  6   86.93    54.21   19.97   53.39
  7   86.28    53.63   19.96   55.58
  8   86.87    56.16   19.97   53.89
  9   86.79    54.55   19.83   54.33
 10   86.45    54.03   19.84   55.01
 11   86.78    53.31   19.94   54.48
 12   86.35    55.14   19.84   54.74
 13   86.78    53.46   19.97   54.58
 14   86.75    53.42   19.85   52.78
 15   86.76    54.16   20.00   53.51
 16   86.51    53.50   19.97   53.21
 17   86.52    54.30   19.94   53.40
 18   86.94    55.25   19.83   52.62
 19   86.26    54.50   19.94   55.98
 20   86.13    53.69   19.84   53.37
 21   86.16    55.24   19.98   56.88
 22   86.55    55.52   19.87   53.90
 23   86.78    55.10   19.99   54.76
 24   86.97    55.06   19.96   52.97
 25   86.87    54.89   19.94   52.88
 26   86.39    53.67   19.87   55.41
 27   86.13    54.77   19.87   54.55
 28   86.16    53.77   19.92   52.91
 29   86.13    51.94   19.98   53.78
 30   86.54    54.45   19.87   54.27
 31   87.00    53.36   19.83   55.35
 32   86.68    54.35   19.90   54.75
 33   86.88    54.53   19.89   55.30
 34   86.97    55.07   19.95   53.96
 35   86.29    56.29   19.96   54.75
 36   86.51    54.93   19.81   54.46
 37   86.67    52.89   19.89   53.98
 38   86.97    55.21   19.88   53.56
 39   86.87    53.78   19.97   53.02
 40   86.32    53.69   19.94   54.00
 41   86.30    54.51   19.87   55.22
 42   86.44    54.35   19.88   55.67
 43   86.65    54.26   19.96   53.63
 44   86.19    52.86   19.90   53.44
 45   86.77    53.34   19.88   55.04
 46   86.98    55.72   19.83   54.15
 47   86.83    52.28   19.91   52.85
 48   86.23    55.98   19.95   55.32
 49   86.53    55.70   19.95   54.98
 50   86.54    54.48   19.90   54.97
 51   86.91    52.51   19.93   56.36
 52   86.59    54.38   19.96   54.49
 53   86.24    54.49   19.82   54.43
 54   86.76    53.56   19.82   54.66
 55   86.55    52.96   19.97   55.26
 56   86.42    54.25   19.82   54.01
 57   86.28    53.95   19.95   54.39
 58   86.43    53.03   19.98   53.53
 59   86.87    54.01   19.82   54.59
 60   86.86    53.45   19.89   53.99
 61   86.46    55.36   19.86   52.52
 62   86.46    54.27   19.84   53.82
 63   86.63    54.04   19.81   53.83
 64   86.82    53.40   19.91   55.93
 65   86.42    54.37   19.92   53.51
 66   86.88    55.34   19.95   54.32
 67   86.61    54.23   19.83   53.84
 68   86.93    55.01   19.85   54.86
 69   86.93    56.63   19.81   54.90
 70   86.18    53.44   19.94   54.09
 71   86.74    53.82   19.98   53.80
 72   86.50    53.13   19.95   53.19
 73   86.69    55.00   19.82   53.80
 74   86.47    53.74   19.89   53.09
 75   86.36    55.54   19.90   53.52
 76   86.45    55.48   19.97   54.60
 77   86.38    52.69   19.86   54.59
 78   86.30    53.99   19.81   52.63
 79   86.86    54.79   19.90   53.67
 80   86.39    54.20   19.92   57.29
 81   86.76    54.56   19.90   53.07
 82   86.15    53.62   19.88   53.80
 83   86.48    53.89   19.96   54.25
 84   86.87    54.16   19.86   53.07
 85   86.56    54.74   19.94   54.09
 86   86.64    53.26   19.93   54.40
 87   86.20    56.02   19.86   53.35
 88   86.33    53.08   19.87   52.53
 89   86.62    54.84   19.91   54.16
 90   86.69    52.05   19.96   53.60
 91   86.53    55.74   19.93   54.26
 92   86.47    54.51   19.87   52.88
 93   86.37    53.55   19.93   53.65
 94   86.62    54.61   19.99   56.47
 95   86.32    54.10   19.89   53.99
 96   86.79    54.75   19.90   52.62
 97   86.96    53.78   19.87   53.36
 98   86.15    55.55   19.95   54.69
 99   86.43    52.62   19.84   52.62
DTC: 87 , AVERAGE U: 43.01
========
DTC: 87 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   86.89    56.46   19.92   54.78
  1   86.16    52.55   19.83   55.16
  2   86.38    54.47   19.99   53.71
