DTC: 60 , AVERAGE U: 41.48
========
DTC: 60 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
 68   59.69    39.20   19.93   39.64
 69   59.41    38.46   19.89   40.03
 70   59.61    38.70   20.00   40.23
 71   59.73    39.42   19.85   41.06
 72   59.88    39.73   19.97   38.50
 73   59.53    40.78   19.93   40.68
 74   59.67    38.57   19.96   39.56
 75   59.58    39.07   19.95   41.70
 76   59.85    39.13   19.85   39.29
 77   59.85    38.93   19.98   39.86
 78   59.56    40.76   19.95   40.84
 79   59.52    39.31   19.95   37.71
 80   59.62    39.17   19.89   38.32
 81   59.66    39.40   19.87   39.77
 82   59.64    38.43   19.98   39.01
 83   59.97    41.21   19.88   37.62
 84   59.90    38.30   19.98   38.78
 85   59.58    36.71   19.82   39.02
 86   59.83    40.43   19.97   40.49
 87   59.55    40.83   19.91   39.10
 88   59.53    39.93   19.86   39.11
 89   59.77    40.38   19.84   39.11
 90   59.74    39.00   19.97   39.94
 91   59.87    38.69   19.82   40.03
 92   59.65    39.92   19.93   39.60
 93   59.89    40.09   19.93   40.10
 94   59.68    40.99   19.89   38.75
 95   59.93    39.31   19.86   37.89
 96   59.70    39.01   19.88   39.17
 97   59.73    38.92   19.88   38.73
 98   59.98    39.34   19.99   38.94
 99   59.69    39.79   19.81   39.73
DTC: 60 , AVERAGE U: 41.48
========
DTC: 60 , AVERAGE e: 0.50
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.44    40.31   19.81   38.96
  1   59.88    39.80   19.90   39.71
  2   59.54    40.09   19.91   39.83
  3   59.93    40.31   19.84   40.24
  4   59.53    39.69   19.92   38.34
  5   59.46    40.68   19.95   39.35
  6   59.86    40.30   19.97   39.28
  7   59.87    37.67   19.92   38.25
  8   59.59    38.18   19.91   37.27
  9   59.41    39.88   19.82   39.93
 10   59.61    38.89   19.87   40.48
 11   59.73    39.55   19.99   40.87
 12   59.53    40.02   19.89   39.92
 13   59.62    39.56   19.81   39.55
 14   59.43    36.74   19.82   41.75
 15   59.56    38.14   19.91   38.44
 16   59.80    39.29   19.86   37.92
 17   59.47    39.73   19.82   39.58
 18   59.49    39.91   19.97   40.56
 19   59.47    40.71   19.83   39.83
 20   59.64    40.26   19.92   40.09
 21   59.76    39.66   19.81   39.27
 22   59.87    38.73   19.98   39.61
 23   59.68    38.88   19.98   39.65
 24   59.43    38.53   19.84   39.11
 25   59.83    38.18   19.96   39.95
 26   59.66    37.16   19.91   41.11
 27   59.90    39.72   19.81   43.03
 28   59.87    36.65   19.83   39.58
 29   60.00    39.68   19.99   39.22
 30   59.66    39.73   19.87   39.49
 31   59.56    38.38   19.90   38.55
 32   59.75    39.13   19.98   38.50
 33   59.63    40.35   19.85   40.82
 34   59.74    39.74   19.84   38.54
 35   59.45    39.50   19.85   41.93
 36   59.59    39.74   19.91   39.59
 37   59.69    39.47   19.86   42.04
 38   59.49    39.38   19.99   39.29
 39   59.63    40.16   19.97   39.60
 40   59.78    38.49   19.85   41.64
 41   59.45    40.00   19.99   40.83
 42   59.68    37.85   19.82   40.05
 43   59.80    40.26   19.81   39.89
 44   59.48    38.00   19.90   39.24
 45   59.91    38.16   19.81   37.89
 46   59.83    38.75   19.89   39.60
 47   59.89    38.66   19.86   41.82
 48   59.75    39.27   20.00   38.51
 49   59.94    37.95   19.92   39.43
 50   59.60    39.05   19.90   38.84
 51   59.64    40.97   19.94   38.70
 52   59.43    38.22   19.91   39.77
 53   59.41    39.56   19.97   40.86
 54   59.55    38.42   19.88   39.97
 55   59.66    39.96   19.86   40.26
 56   59.47    40.70   19.84   40.39
 57   59.74    38.90   19.98   39.25
 58   59.60    39.21   19.98   37.67
 59   59.54    38.57   19.82   39.50
 60   59.69    39.36   19.83   39.54
 61   59.75    38.63   19.82   39.23
 62   59.53    38.57   19.85   39.23
 63   59.50    39.62   19.98   39.17
 64   59.87    39.45   19.93   38.13
 65   59.44    39.48   19.82   39.28
 66   59.89    38.73   19.98   40.92
 67   59.52    41.00   19.97   38.67
 68   59.69    39.20   19.93   39.64
 69   59.41    38.46   19.89   40.03
 70   59.61    38.70   20.00   40.23
 71   59.73    39.42   19.85   41.06
 72   59.88    39.73   19.97   38.50
 73   59.53    40.78   19.93   40.68
 74   59.67    38.57   19.96   39.56
 75   59.58    39.07   19.95   41.70
 76   59.85    39.13   19.85   39.29
 77   59.85    38.93   19.98   39.86
 78   59.56    40.76   19.95   40.84
 79   59.52    39.31   19.95   37.71
 80   59.62    39.17   19.89   38.32
 81   59.66    39.40   19.87   39.77
 82   59.64    38.43   19.98   39.01
 83   59.97    41.21   19.88   37.62
 84   59.90    38.30   19.98   38.78
 85   59.58    36.71   19.82   39.02
 86   59.83    40.43   19.97   40.49
 87   59.55    40.83   19.91   39.10
 88   59.53    39.93   19.86   39.11
 89   59.77    40.38   19.84   39.11
 90   59.74    39.00   19.97   39.94
 91   59.87    38.69   19.82   40.03
 92   59.65    39.92   19.93   39.60
 93   59.89    40.09   19.93   40.10
 94   59.68    40.99   19.89   38.75
 95   59.93    39.31   19.86   37.89
 96   59.70    39.01   19.88   39.17
 97   59.73    38.92   19.88   38.73
 98   59.98    39.34   19.99   38.94
 99   59.69    39.79   19.81   39.73
DTC: 60 , AVERAGE U: 41.30
========
DTC: 60 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.68    40.98   19.94   38.72
  1   59.53    38.35   19.90   39.11
  2   59.50    40.98   19.94   40.18
  3   59.72    38.44   19.96   38.27
  4   59.74    38.39   19.83   39.69
  5   59.80    40.28   19.88   39.11
  6   59.57    38.14   19.87   38.58
  7   59.94    38.55   19.87   39.97
  8   59.66    37.00   19.95   38.46
  9   59.54    38.68   19.88   39.98
 10   59.42    40.65   19.91   38.51
 11   59.69    37.84   19.97   40.06
 12   59.74    41.30   19.97   39.74
 13   59.97    38.55   19.84   38.68
 14   59.99    39.14   19.91   38.03
 15   59.92    38.90   19.82   40.03
 16   59.90    37.29   19.88   40.28
 17   59.46    39.72   20.00   40.34
 18   59.96    40.27   19.81   38.81
 19   59.98    40.83   19.82   39.19
 20   59.47    41.34   19.83   38.21
 21   59.77    39.94   19.89   40.31
 22   59.78    39.72   19.87   38.88
 23   59.81    39.05   19.88   38.73
 24   59.97    39.22   19.88   38.76
 25   59.61    39.95   19.90   38.22
 26   59.70    39.21   19.81   39.82
 27   59.69    41.48   19.97   39.62
 28   59.55    37.48   19.85   38.80
 29   59.57    39.34   19.89   39.43
 30   59.58    40.00   19.84   40.11
 31   59.75    38.16   19.99   39.56
 32   59.55    39.37   19.95   38.25
 33   59.68    38.85   19.87   40.54
 34   59.42    39.52   19.84   38.97
 35   59.54    40.57   19.82   39.11
 36   59.70    39.47   19.81   40.48
 37   59.45    40.87   19.93   39.74
 38   59.85    41.27   20.00   38.11
 39   59.40    38.22   19.81   38.28
 40   59.45    40.53   19.88   39.27
 41   59.64    38.56   19.93   40.73
 42   59.95    38.89   19.86   39.44
 43   59.43    39.35   19.99   39.84
 44   59.89    38.93   19.90   39.07
 45   59.60    40.44   19.89   38.90
 46   59.62    39.75   19.83   39.23
 47   59.47    37.00   19.92   40.80
 48   59.56    40.68   19.81   39.84
 49   59.54    39.31   19.91   40.98
 50   59.68    39.25   19.97   37.14
 51   59.73    37.65   19.84   37.72
 52   59.42    40.02   19.98   39.20
 53   59.72    39.47   19.92   38.58
 54   59.66    41.46   19.96   40.59
 55   59.90    39.82   19.88   40.17
 56   59.62    39.89   19.83   37.94
 57   59.42    38.95   19.97   39.69
 58   59.64    41.41   19.89   40.89
 59   59.67    39.51   19.82   40.38
 60   59.90    39.66   19.88   38.84
 61   59.59    39.94   19.88   38.74
 62   59.77    39.46   19.85   38.25
 63   59.72    39.23   19.89   39.98
 64   59.50    40.27   19.84   40.03
 65   59.78    38.62   19.86   40.08
 66   59.81    39.85   19.87   39.85
 67   59.88    39.72   19.91   38.71
 68   59.74    40.13   19.87   41.15
 69   59.49    39.40   19.84   42.81
 70   59.66    39.12   19.85   39.86
 71   59.70    38.95   19.88   39.57
 72   59.67    40.42   19.92   40.40
 73   59.53    39.98   19.92   41.57
 74   59.52    39.95   19.86   40.70
 75   59.99    38.11   19.99   38.29
 76   60.00    40.54   19.83   38.72
 77   59.58    38.43   19.84   39.74
 78   59.70    37.96   19.87   40.19
 79   59.42    39.28   19.99   39.50
 80   59.58    37.55   19.93   41.32
 81   59.87    41.88   19.87   39.38
 82   59.64    40.66   19.89   39.54
 83   59.86    38.66   19.89   40.43
 84   59.66    38.66   19.96   39.49
 85   59.77    40.63   19.83   40.17
 86   59.66    37.76   19.80   40.42
 87   59.95    38.57   19.84   39.66
 88   59.83    39.34   19.80   38.35
 89   59.59    39.39   19.86   38.84
 90   59.61    39.41   19.88   40.66
 91   59.94    36.56   19.95   39.11
 92   59.88    37.66   19.93   39.67
 93   59.77    37.20   19.93   39.77
 94   59.78    39.96   19.82   40.23
 95   59.74    38.63   19.84   38.70
 96   59.68    40.01   19.86   39.73
 97   59.61    40.15   19.95   40.72
 98   59.96    38.60   19.86   39.00
 99   59.51    39.86   19.93   39.24
DTC: 60 , AVERAGE U: 41.30
========
DTC: 60 , AVERAGE e: 0.49
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.68    40.98   19.94   38.72
  1   59.53    38.35   19.90   39.11
  2   59.50    40.98   19.94   40.18
  3   59.72    38.44   19.96   38.27
  4   59.74    38.39   19.83   39.69
  5   59.80    40.28   19.88   39.11
  6   59.57    38.14   19.87   38.58
  7   59.94    38.55   19.87   39.97
  8   59.66    37.00   19.95   38.46
  9   59.54    38.68   19.88   39.98
 10   59.42    40.65   19.91   38.51
 11   59.69    37.84   19.97   40.06
 12   59.74    41.30   19.97   39.74
 13   59.97    38.55   19.84   38.68
 14   59.99    39.14   19.91   38.03
 15   59.92    38.90   19.82   40.03
 16   59.90    37.29   19.88   40.28
 17   59.46    39.72   20.00   40.34
 18   59.96    40.27   19.81   38.81
 19   59.98    40.83   19.82   39.19
 20   59.47    41.34   19.83   38.21
 21   59.77    39.94   19.89   40.31
 22   59.78    39.72   19.87   38.88
 23   59.81    39.05   19.88   38.73
 24   59.97    39.22   19.88   38.76
 25   59.61    39.95   19.90   38.22
 26   59.70    39.21   19.81   39.82
 27   59.69    41.48   19.97   39.62
 28   59.55    37.48   19.85   38.80
 29   59.57    39.34   19.89   39.43
 30   59.58    40.00   19.84   40.11
 31   59.75    38.16   19.99   39.56
 32   59.55    39.37   19.95   38.25
 33   59.68    38.85   19.87   40.54
 34   59.42    39.52   19.84   38.97
 35   59.54    40.57   19.82   39.11
 36   59.70    39.47   19.81   40.48
 37   59.45    40.87   19.93   39.74
 38   59.85    41.27   20.00   38.11
 39   59.40    38.22   19.81   38.28
 40   59.45    40.53   19.88   39.27
 41   59.64    38.56   19.93   40.73
 42   59.95    38.89   19.86   39.44
 43   59.43    39.35   19.99   39.84
 44   59.89    38.93   19.90   39.07
 45   59.60    40.44   19.89   38.90
 46   59.62    39.75   19.83   39.23
 47   59.47    37.00   19.92   40.80
 48   59.56    40.68   19.81   39.84
 49   59.54    39.31   19.91   40.98
 50   59.68    39.25   19.97   37.14
 51   59.73    37.65   19.84   37.72
 52   59.42    40.02   19.98   39.20
 53   59.72    39.47   19.92   38.58
 54   59.66    41.46   19.96   40.59
 55   59.90    39.82   19.88   40.17
 56   59.62    39.89   19.83   37.94
 57   59.42    38.95   19.97   39.69
 58   59.64    41.41   19.89   40.89
 59   59.67    39.51   19.82   40.38
 60   59.90    39.66   19.88   38.84
 61   59.59    39.94   19.88   38.74
 62   59.77    39.46   19.85   38.25
 63   59.72    39.23   19.89   39.98
 64   59.50    40.27   19.84   40.03
 65   59.78    38.62   19.86   40.08
 66   59.81    39.85   19.87   39.85
 67   59.88    39.72   19.91   38.71
 68   59.74    40.13   19.87   41.15
 69   59.49    39.40   19.84   42.81
 70   59.66    39.12   19.85   39.86
 71   59.70    38.95   19.88   39.57
 72   59.67    40.42   19.92   40.40
 73   59.53    39.98   19.92   41.57
 74   59.52    39.95   19.86   40.70
 75   59.99    38.11   19.99   38.29
 76   60.00    40.54   19.83   38.72
 77   59.58    38.43   19.84   39.74
 78   59.70    37.96   19.87   40.19
 79   59.42    39.28   19.99   39.50
 80   59.58    37.55   19.93   41.32
 81   59.87    41.88   19.87   39.38
 82   59.64    40.66   19.89   39.54
 83   59.86    38.66   19.89   40.43
 84   59.66    38.66   19.96   39.49
 85   59.77    40.63   19.83   40.17
 86   59.66    37.76   19.80   40.42
 87   59.95    38.57   19.84   39.66
 88   59.83    39.34   19.80   38.35
 89   59.59    39.39   19.86   38.84
 90   59.61    39.41   19.88   40.66
 91   59.94    36.56   19.95   39.11
 92   59.88    37.66   19.93   39.67
 93   59.77    37.20   19.93   39.77
 94   59.78    39.96   19.82   40.23
 95   59.74    38.63   19.84   38.70
 96   59.68    40.01   19.86   39.73
 97   59.61    40.15   19.95   40.72
 98   59.96    38.60   19.86   39.00
 99   59.51    39.86   19.93   39.24
DTC: 60 , AVERAGE U: 40.87
========
DTC: 60 , AVERAGE e: 0.51
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.95    39.92   19.97   37.70
  1   59.96    40.31   19.94   40.55
  2   59.74    40.25   20.00   39.70
  3   59.83    40.38   19.96   41.03
  4   59.54    37.10   19.98   40.34
  5   59.78    39.62   19.93   40.01
  6   59.61    39.13   19.99   40.26
  7   59.52    39.18   19.86   40.32
  8   60.00    39.94   19.91   39.30
  9   59.88    39.71   19.93   40.84
 10   59.99    40.11   19.91   40.75
 11   59.98    39.17   19.85   39.69
 12   59.73    37.19   19.93   39.99
 13   59.77    39.44   19.83   37.99
 14   59.74    38.72   19.91   39.30
 15   59.54    40.50   19.82   40.70
 16   59.60    39.03   19.84   38.26
 17   59.98    39.14   19.86   40.48
 18   59.73    40.26   19.95   39.55
 19   59.83    38.30   19.85   38.92
 20   59.59    40.02   19.87   39.45
 21   59.98    40.72   19.82   37.86
 22   59.59    39.30   19.81   40.66
 23   59.52    40.85   19.90   39.90
 24   59.64    39.32   19.97   38.97
 25   59.70    38.85   19.82   39.06
 26   59.86    39.50   19.91   40.31
 27   59.94    41.00   19.88   38.74
 28   59.45    40.32   19.84   38.79
 29   59.78    39.59   19.86   38.88
 30   59.87    38.83   19.92   38.54
 31   59.83    39.27   19.97   39.39
 32   59.60    39.98   19.89   38.07
 33   59.61    40.60   19.83   39.88
 34   59.50    40.64   19.88   39.61
 35   59.76    38.40   19.81   39.29
 36   59.85    40.11   19.95   38.82
 37   59.73    39.16   19.87   40.32
 38   59.58    38.60   19.94   39.23
 39   59.43    40.33   19.87   37.28
 40   59.53    38.68   19.96   39.05
 41   59.45    38.99   19.81   39.49
 42   59.50    37.31   20.00   38.01
 43   59.96    39.02   19.96   38.32
 44   59.66    38.31   19.87   40.70
 45   59.83    40.18   19.90   40.80
 46   59.48    39.98   19.87   37.88
 47   59.48    39.44   19.84   39.42
 48   59.80    39.79   19.81   38.97
 49   59.89    40.44   19.92   38.62
 50   59.92    38.01   19.81   39.36
 51   59.79    39.09   19.85   38.79
 52   59.66    39.60   19.96   39.34
 53   59.92    39.45   19.95   40.60
 54   59.86    40.60   19.94   37.87
 55   59.83    40.64   19.89   40.40
 56   59.56    38.66   19.82   37.92
 57   59.42    39.23   19.91   39.83
 58   59.52    39.96   19.87   38.59
 59   59.51    39.21   19.89   39.06
 60   59.47    36.68   19.83   37.76
 61   59.54    37.57   19.84   40.34
 62   59.89    40.85   19.84   40.01
 63   59.46    40.06   19.82   38.46
 64   59.78    39.73   19.91   39.58
 65   59.92    41.38   19.91   38.11
 66   59.97    39.78   20.00   38.25
 67   59.65    39.28   19.92   39.38
 68   59.78    41.05   19.89   38.41
 69   59.69    40.45   19.95   41.20
 70   59.74    38.06   19.93   39.62
 71   59.59    39.87   19.88   39.94
 72   59.52    40.13   19.94   40.36
 73   59.60    40.07   19.99   39.19
 74   59.80    39.07   19.97   39.32
 75   59.77    39.22   19.83   39.21
 76   59.65    39.62   19.98   40.11
 77   59.76    37.47   20.00   38.81
 78   59.52    38.11   20.00   38.40
 79   59.46    41.80   19.84   40.40
 80   59.48    38.79   19.91   39.61
 81   59.60    38.96   19.83   38.00
 82   59.96    38.81   19.83   39.61
 83   59.41    38.78   19.84   39.11
 84   59.51    39.81   19.91   39.36
 85   59.47    39.09   19.90   39.80
 86   59.71    39.38   19.86   40.49
 87   59.52    36.71   19.94   38.38
 88   59.97    40.86   19.97   39.53
 89   59.67    38.04   19.93   38.56
 90   59.73    39.79   19.99   39.18
 91   59.55    40.27   19.92   38.27
 92   59.58    40.08   19.84   39.24
 93   59.90    39.41   19.91   38.97
 94   59.91    39.68   19.99   39.34
 95   59.74    39.42   19.88   40.13
 96   59.61    38.96   19.92   38.33
 97   59.88    39.83   19.88   37.97
 98   59.96    40.75   19.95   40.00
 99   59.63    39.12   19.90   39.57
DTC: 60 , AVERAGE U: 40.87
========
DTC: 60 , AVERAGE e: 0.49
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.95    39.92   19.97   37.70
  1   59.96    40.31   19.94   40.55
  2   59.74    40.25   20.00   39.70
  3   59.83    40.38   19.96   41.03
  4   59.54    37.10   19.98   40.34
  5   59.78    39.62   19.93   40.01
  6   59.61    39.13   19.99   40.26
  7   59.52    39.18   19.86   40.32
  8   60.00    39.94   19.91   39.30
  9   59.88    39.71   19.93   40.84
 10   59.99    40.11   19.91   40.75
 11   59.98    39.17   19.85   39.69
 12   59.73    37.19   19.93   39.99
 13   59.77    39.44   19.83   37.99
 14   59.74    38.72   19.91   39.30
 15   59.54    40.50   19.82   40.70
 16   59.60    39.03   19.84   38.26
 17   59.98    39.14   19.86   40.48
 18   59.73    40.26   19.95   39.55
 19   59.83    38.30   19.85   38.92
 20   59.59    40.02   19.87   39.45
 21   59.98    40.72   19.82   37.86
 22   59.59    39.30   19.81   40.66
 23   59.52    40.85   19.90   39.90
 24   59.64    39.32   19.97   38.97
 25   59.70    38.85   19.82   39.06
 26   59.86    39.50   19.91   40.31
 27   59.94    41.00   19.88   38.74
 28   59.45    40.32   19.84   38.79
 29   59.78    39.59   19.86   38.88
 30   59.87    38.83   19.92   38.54
 31   59.83    39.27   19.97   39.39
 32   59.60    39.98   19.89   38.07
 33   59.61    40.60   19.83   39.88
 34   59.50    40.64   19.88   39.61
 35   59.76    38.40   19.81   39.29
 36   59.85    40.11   19.95   38.82
 37   59.73    39.16   19.87   40.32
 38   59.58    38.60   19.94   39.23
 39   59.43    40.33   19.87   37.28
 40   59.53    38.68   19.96   39.05
 41   59.45    38.99   19.81   39.49
 42   59.50    37.31   20.00   38.01
 43   59.96    39.02   19.96   38.32
 44   59.66    38.31   19.87   40.70
 45   59.83    40.18   19.90   40.80
 46   59.48    39.98   19.87   37.88
 47   59.48    39.44   19.84   39.42
 48   59.80    39.79   19.81   38.97
 49   59.89    40.44   19.92   38.62
 50   59.92    38.01   19.81   39.36
 51   59.79    39.09   19.85   38.79
 52   59.66    39.60   19.96   39.34
 53   59.92    39.45   19.95   40.60
 54   59.86    40.60   19.94   37.87
 55   59.83    40.64   19.89   40.40
 56   59.56    38.66   19.82   37.92
 57   59.42    39.23   19.91   39.83
 58   59.52    39.96   19.87   38.59
 59   59.51    39.21   19.89   39.06
 60   59.47    36.68   19.83   37.76
 61   59.54    37.57   19.84   40.34
 62   59.89    40.85   19.84   40.01
 63   59.46    40.06   19.82   38.46
 64   59.78    39.73   19.91   39.58
 65   59.92    41.38   19.91   38.11
 66   59.97    39.78   20.00   38.25
 67   59.65    39.28   19.92   39.38
 68   59.78    41.05   19.89   38.41
 69   59.69    40.45   19.95   41.20
 70   59.74    38.06   19.93   39.62
 71   59.59    39.87   19.88   39.94
 72   59.52    40.13   19.94   40.36
 73   59.60    40.07   19.99   39.19
 74   59.80    39.07   19.97   39.32
 75   59.77    39.22   19.83   39.21
 76   59.65    39.62   19.98   40.11
 77   59.76    37.47   20.00   38.81
 78   59.52    38.11   20.00   38.40
 79   59.46    41.80   19.84   40.40
 80   59.48    38.79   19.91   39.61
 81   59.60    38.96   19.83   38.00
 82   59.96    38.81   19.83   39.61
 83   59.41    38.78   19.84   39.11
 84   59.51    39.81   19.91   39.36
 85   59.47    39.09   19.90   39.80
 86   59.71    39.38   19.86   40.49
 87   59.52    36.71   19.94   38.38
 88   59.97    40.86   19.97   39.53
 89   59.67    38.04   19.93   38.56
 90   59.73    39.79   19.99   39.18
 91   59.55    40.27   19.92   38.27
 92   59.58    40.08   19.84   39.24
 93   59.90    39.41   19.91   38.97
 94   59.91    39.68   19.99   39.34
 95   59.74    39.42   19.88   40.13
 96   59.61    38.96   19.92   38.33
 97   59.88    39.83   19.88   37.97
 98   59.96    40.75   19.95   40.00
 99   59.63    39.12   19.90   39.57
DTC: 60 , AVERAGE U: 40.81
========
DTC: 60 , AVERAGE e: 0.52
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.40    38.48   19.97   38.35
  1   59.48    37.93   19.93   39.08
  2   59.94    39.66   19.98   36.58
  3   59.89    40.71   19.92   39.77
  4   59.90    38.12   19.93   40.07
  5   59.85    38.38   19.88   37.41
  6   59.58    40.09   19.99   39.21
  7   59.96    39.78   19.81   40.53
  8   59.63    38.67   19.92   38.71
  9   59.52    39.62   19.90   37.88
 10   59.57    39.91   19.83   39.26
 11   59.84    39.78   19.83   37.49
 12   59.67    39.64   19.94   40.25
 13   59.43    41.01   19.99   39.76
 14   59.52    39.91   19.84   39.59
 15   59.89    40.53   19.85   39.57
 16   59.51    39.94   19.85   39.76
 17   59.55    39.03   19.95   37.92
 18   59.77    38.73   19.95   40.87
 19   59.98    40.61   19.98   38.28
 20   59.61    40.55   19.84   40.93
 21   59.51    39.40   19.86   40.90
 22   59.66    38.25   19.83   38.65
 23   59.90    38.60   19.92   37.48
 24   59.42    37.91   19.83   38.57
 25   59.76    38.85   19.92   38.54
 26   59.62    39.86   19.89   40.65
 27   59.85    38.99   19.80   39.92
 28   59.82    38.86   19.83   38.24
 29   59.83    38.89   19.88   41.89
 30   59.99    38.29   19.96   39.94
 31   59.92    36.96   19.85   39.00
 32   59.69    40.80   19.92   38.13
 33   59.87    38.93   19.98   40.68
 34   59.62    38.70   19.97   39.63
 35   59.67    39.80   19.82   39.60
 36   59.98    39.25   19.85   39.23
 37   59.89    37.02   20.00   38.93
 38   59.90    38.06   19.88   37.20
 39   59.45    38.64   19.92   38.49
 40   59.58    39.30   19.81   39.71
 41   59.84    38.65   19.84   38.44
 42   59.59    37.96   19.95   38.39
 43   59.57    40.40   19.85   38.34
 44   59.85    39.90   19.91   39.18
 45   59.54    39.00   19.94   38.79
 46   59.71    39.69   19.88   38.56
 47   59.85    40.56   19.96   40.72
 48   59.87    40.93   19.90   40.02
 49   59.61    38.20   19.87   39.95
 50   59.82    40.17   19.95   37.84
 51   59.65    37.87   19.93   43.36
 52   59.89    38.97   19.95   38.20
 53   59.55    40.29   19.84   37.62
 54   59.78    39.80   19.81   39.04
 55   59.68    39.07   19.84   39.43
 56   59.63    38.99   19.97   41.24
 57   59.54    37.71   19.89   40.56
 58   59.99    38.95   19.91   39.32
 59   59.88    40.42   19.94   40.67
 60   59.45    35.92   19.87   37.96
 61   59.87    38.13   19.86   38.99
 62   59.97    37.97   19.82   39.85
 63   59.73    39.67   19.94   39.06
 64   59.50    39.45   19.81   38.88
 65   59.56    38.13   19.90   38.96
 66   59.96    37.20   19.83   39.24
 67   59.49    37.44   19.86   38.05
 68   59.84    39.45   19.90   39.68
 69   59.72    39.52   19.98   39.93
 70   59.73    38.88   19.93   41.28
 71   59.61    38.51   19.96   40.10
 72   59.88    40.70   19.91   38.47
 73   59.74    39.84   19.84   39.44
 74   59.43    38.68   19.88   38.46
 75   59.68    37.84   19.93   38.79
 76   59.98    40.88   19.89   39.96
 77   59.95    38.42   19.91   38.21
 78   59.69    39.62   19.81   39.56
 79   59.72    39.39   19.86   38.63
 80   59.48    39.92   19.99   40.12
 81   59.60    40.11   19.87   38.17
 82   59.80    38.74   19.97   38.75
 83   59.95    38.38   19.96   39.03
 84   59.59    39.53   19.83   40.09
 85   59.47    38.21   19.97   38.90
 86   59.46    38.22   19.87   39.02
 87   59.58    39.80   19.95   38.95
 88   59.75    38.59   19.85   40.16
 89   59.68    39.96   19.94   41.29
 90   59.81    37.37   19.90   39.99
 91   59.56    38.77   19.99   39.47
 92   59.95    40.81   19.97   39.79
 93   59.75    38.28   19.83   39.60
 94   59.89    39.92   19.92   38.74
 95   59.61    37.63   19.85   39.67
 96   59.93    39.71   19.92   39.74
 97   59.77    40.81   19.94   40.78
 98   59.80    40.92   19.93   38.69
 99   59.90    37.82   19.88   39.60
DTC: 60 , AVERAGE U: 40.81
========
DTC: 60 , AVERAGE e: 0.49
No.  T_h_i    T_h_o   T_c_i   T_c_o
  0   59.40    38.48   19.97   38.35
  1   59.48    37.93   19.93   39.08
  2   59.94    39.66   19.98   36.58
